sha256,malware,malware_family,confidence,first_seen,last_seen,reporter
"""ffe98374173d7c2084a1a6953b308c13a8b9493294af831c23542b0d88654036"""," ""win.valley_rat"""," ""Winos"""," ""95""",2026-06-29 19:10:45," """""," ""0"""
"""d6ca3c85df784f0b7751f67bc0b23f44f173b7be7f6344d02f26c8e28e0abad8"""," ""win.valley_rat"""," ""Winos"""," ""95""",2026-06-29 19:10:44," """""," ""0"""
"""3f076a3e4a0733c630d58f790dc8b6422c5ee6344695f88987b14a060d721d4f"""," ""win.coinminer"""," ""None"""," ""95""",2026-06-29 19:10:43," """""," ""0"""
"""1d805377c6dc2c4321897789d82add4d2e83e947c5fe2a182061484db840d7bb"""," ""win.nanocore"""," ""Nancrat"," """"",2026-06-29 19:10:42," ""Nanocore RAT"""," ""None"""
"""cfa1674a075c651c7bf0278f5fffc2ed2d268f4317eb41faf1d1eb03c14bdb04"""," ""win.nanocore"""," ""Nancrat"," """"",2026-06-29 19:10:41," ""Nanocore RAT"""," ""None"""
"""af154a4bb20730e0d8f7e88179b1797d8e67b23302ee2a0fa152dbd23a39a9dd"""," ""win.nanocore"""," ""Nancrat"," """"",2026-06-29 19:10:40," ""Nanocore RAT"""," ""None"""
"""604a502f34aa28773356a131d2ce537866cdd973e464a7144b0d626fd65f5937"""," ""win.nanocore"""," ""Nancrat"," """"",2026-06-29 19:10:39," ""Nanocore RAT"""," ""None"""
"""f59b521321526c8e255c6e5a9ed71d063349cab55a4a0b7207c6aa0039fb32be"""," ""win.salatstealer"""," ""None"""," ""95""",2026-06-29 19:10:38," """""," ""0"""
"""a834cec6b236453ee671c23326b60763880a47c93ccc595d6e566ec5f81ade88"""," ""win.njrat"""," ""Bladabindi"," """"",2026-06-29 19:10:38," ""NjRAT"""," ""None"""
"""9977df7ffd04173d38e0aefe3d028052e164aaa69c1facfe63af55b473dd9e24"""," ""win.salatstealer"""," ""None"""," ""95""",2026-06-29 19:10:37," """""," ""0"""
"""1086e2ec8e9274e1639f14084f27d3b47e606c37ccc2a1e4976db6633ef797d5"""," ""win.njrat"""," ""Bladabindi"," """"",2026-06-29 19:10:36," ""NjRAT"""," ""None"""
"""31c37ff61aa322192236c9672f09e3d97b6e6e09c5019077df7d0567d4c0b48b"""," ""win.njrat"""," ""Bladabindi"," """"",2026-06-29 19:10:35," ""NjRAT"""," ""None"""
"""0911748a95f6a362d1ed8d6fcd1a7889167520cdd506522658d84a69c9a088ab"""," ""win.ave_maria"""," ""AVE_MARIA",WarzoneRAT,2026-06-29 19:10:34,Warzone RAT," ""95"""
"""83a2d5361b91b0ac26ff7c5f161dd3008de6922c5df7f8c0af80b1dea105480d"""," ""win.ave_maria"""," ""AVE_MARIA",WarzoneRAT,2026-06-29 19:10:33,Warzone RAT," ""95"""
"""ab168b5a63520e7cabe5d2d3917e1b9b1b388db0b3f27354bc7cd075e63cc7dd"""," ""win.valley_rat"""," ""Winos"""," ""95""",2026-06-29 19:10:32," """""," ""0"""
"""16aa5e9cd33302fb4bba5f5fe61b9dcef4e6e1a777098985eca17e5a6f075234"""," ""win.raton_rat"""," ""None"""," ""95""",2026-06-29 19:10:31," """""," ""0"""
"""e2becd3fbfd8a2bc16f517ddf3702bc03ce25718495e7e67ef8517d2d91be6f9"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:16," """"",ClickFix
"""1a22a2b2b0118fbd8e607a1fd303e69fb61b95837372e57d508908de1a446195"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:15," """"",ClickFix
"""e1f8ac8514b45b51abc91b135e4964290a8e6bb5fb4893535fce8da974a8da5b"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:14," """"",ClickFix
"""2b3681feecfb6e9a9f762fbf0e0421d69f6bd66f925f4d79be39cde5616256d6"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:12," """"",ClickFix
"""65822e4396d854529e895ce37a87c11f660b0f5fd826660a97e9d62b24e57082"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:11," """"",ClickFix
"""8765c89afc71a53077f2221ddf68625d971f41e8446b4c2b2f8c0835910d7306"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:10," """"",ClickFix
"""8a712dc3e7b657d198b7532dd8c7f117c882ed0ec3acc4fb5bcb62ccae9e450c"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:08," """"",ClickFix
"""76bf6dc77dd65a17f8525db19ed152117272bf777cd49d0284dbb398f90d945c"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:05," """"",ClickFix
"""e3b293066d3fc76c2fb149af1492afce98e4bba9a699713b0d5e8ef2c558ac92"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:02:03," """"",ClickFix
"""80049a2ef7ebc587d0a1b68cb51f79f710950670fc693f7f666233b2bb8c11a9"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:01:44," """"",ClickFix
"""67af4ba680d2acadbc7c96852a296c515da5eb93095056b8028f5d16dc8271a0"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:01:42," """"",ClickFix
"""e127aef41aaa4e0c28becb09df8415df35f7ca23724e07e2dbab0abb5f72fb85"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:01:40," """"",ClickFix
"""54b57a524cb975f381dbc1dacccd77924d7ce331fe6b156c5b62419d86e7d18a"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 16:01:39," """"",ClickFix
"""aa14e0739cc231f5bbc34d22440d1600c72cfed1f1c1be6f7bef6f57a8deb05f"""," ""unknown"""," ""None"""," ""75""",2026-06-29 14:02:07," """"",DLL-sideload
"""7cf705c6a891860f44ec7f8f6a1fa8b461be9fdae040c729720cfffc85cdffd9"""," ""unknown"""," ""None"""," ""75""",2026-06-29 14:02:06," """"",DLL-sideload
"""72e532597a0255c83c41ea5d3b239027827ec9c24e4e6620dc49da6484f18b4a"""," ""unknown"""," ""None"""," ""75""",2026-06-29 14:02:06," """"",DLL-sideload
"""d656d9afc72bb96781f831f619a88ccc7713cad6ea8e73572e07b9a2e8c4a16f"""," ""unknown"""," ""None"""," ""75""",2026-06-29 14:02:06," """"",DLL-sideload
"""8eb65c7e227d022ab55a5fcd0df2108cf63fcd1b0f223dae807fd91f4c07da63"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:24," """"",ClickFix
"""57383f826f13db899c12e257b8b4fb331cb67665427ab89bfa512ff94b136a38"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:22," """"",ClickFix
"""878b1280993dfd05177c1ddcb1db0d5dfaaeab3688ac008fae08dcbbdc9c6165"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:20," """"",ClickFix
"""81b432422313fee435ad45d1d56fc2b82092b87a216930ff376711fae1c5c589"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:18," """"",ClickFix
"""f0210f448c8f446a0553ebc96217b69204635ab9c8afd3dbad4551cd15b04ed6"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:17," """"",ClickFix
"""124943f53d7e25e6b0d5fc5f0166887bd455928c197a83d7912ca836842b7a49"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:15," """"",ClickFix
"""081ff763229d78c25ee98ad187721c67f90f7c21c179316ac15294bd306a9bf8"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:13," """"",ClickFix
"""f2b25a2b02c06cfd322ab35e46aa996e093f60c6d4533ff1c9488a4fd4731bc2"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:11," """"",ClickFix
"""4ab0c6d772182dd989d5f486b3786d9652e096f3a7de2fe9318ba91160a29e54"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:10," """"",ClickFix
"""99dae889c2513af1184536be9113f9090156e005ec8f4e7d70fe85a2385d6b40"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:08," """"",ClickFix
"""2b7a158ba21d29ff705f007404100f4be18f57c8add18be4367274313a525702"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:04," """"",ClickFix
"""dab38d21b56589329253f3945077257015c38f0a3be8d4b23dbec6614df4cd6b"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:02," """"",ClickFix
"""a7c115fa0d7e766e8cca83357f820fbc30bacf87eb8e034e626745fbcbedf4dd"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:51:00," """"",ClickFix
"""5ddcc0e2b411639e9f0b956207a0f79220a5d63a91f989a33dfdb5e84d054375"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:58," """"",ClickFix
"""cbec366f46e2ada3a4ba03110a6bf07cd773758f9647d6177aa2b3a824725a40"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:57," """"",ClickFix
"""cda3bad36970a93cf320e99fa8f79ebef44a9d363984caa8d3ade57302d685d8"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:55," """"",ClickFix
"""c29c5524132d533b368fdb4ebf25005b8ba16c87f47ff43cc8ffcf3afd951ef0"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:53," """"",ClickFix
"""d9521891b05f22fb738d33a351630174ce3612472585616b5a0d0339f5ef7bc9"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:51," """"",ClickFix
"""cf5875da311ed8b387c1c2e1980ae092b8c626983b052f8209b3cfd7092f37f5"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:49," """"",ClickFix
"""477d0034cb086f7f243a7d5dfa9cd3bc4b4897bbdbbf3579e57696b4a0367eea"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:48," """"",ClickFix
"""1f8714501e5a305f0ac811fe072adab863121a505c58ba8f2063b80cc4c53fde"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:46," """"",ClickFix
"""cb6136edadf2e978a6a7a824a04c4868c3d5388e5a6348af138ccf0ad65281cb"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:44," """"",ClickFix
"""b4e82c910ee8b571485fed72ab6bcc2fac4bc56165486fe0da3548372c061722"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:43," """"",ClickFix
"""7aba322a380e1677dd6d330776f68ee1c9fcd03bc95d441848ff24dfe9c6d724"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:41," """"",ClickFix
"""81eb6e18c2b2ccdf7b0eca605398a98628627a9a97ac27a2868dd2b8cb930386"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:37," """"",ClickFix
"""889e30fe3f83f5760f2ff19a077d59efaa07e9cf01cfe46dc94ce009f14d9eb0"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:36," """"",ClickFix
"""b67a31e76c3574f6703a4113083de1a2f7fa3162ca7873510e7df4da1f78156f"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:34," """"",ClickFix
"""5fda909ff3cef21c73af1756533f0a5a1fda0f0169b538dc9b8d34889ad926ed"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:32," """"",ClickFix
"""a8e53406599d6e8c59847e3bc3170202c52eae122053d2fbb9c4233ab7f0d3ba"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:30," """"",ClickFix
"""426ddfb1bb7b5f84c6676b9c796093585a9c0ad52d72cba56eae4cf47b10b742"""," ""js.clearfake"""," ""None"""," ""90""",2026-06-29 13:50:29," """"",ClickFix
